v4.0.3	CONSENSUS ASSESSMENTS INITIATIVE QUESTIONNAIRE v4.0.3										
Question ID	Question	CSP CAIQ Answer	SSRM Control Ownership	CSP Implementation Description (Optional/Recommended)	CSC Responsibilities  (Optional/Recommended)			CCM Control ID	CCM Control Specification	CCM Control Title	CCM Domain Title
IAM-10.1	"Is an access process defined and implemented to ensure privileged access roles
and rights are granted for a limited period?
"	Yes	CSP-owned	"Access is time-bound for the performance of duties, and is routinely reviewed and removed if no longer necessary. Per the employee exit policy, user accounts are deleted upon termination of employment."				IAM-10	"Define and implement an access process to ensure privileged access
roles and rights are granted for a time limited period, and implement procedures
to prevent the culmination of segregated privileged access.
"	Management of Privileged Access Roles	
IAM-10.2	"Are procedures implemented to prevent the culmination of segregated privileged
access?
"	Yes	CSP-owned								
IAM-11.1	"Are processes and procedures for customers to participate, where applicable,
in granting access for agreed, high risk as (defined by the organizational risk
assessment) privileged access roles defined, implemented and evaluated?
"	Yes	CSC-owned	Customers of our platform are in complete control of their organizational access.				IAM-11	"Define, implement and evaluate processes and procedures for customers
to participate, where applicable, in the granting of access for agreed, high
risk (as defined by the organizational risk assessment) privileged access roles.
"	CSCs Approval for Agreed Privileged Access Roles	
IAM-12.1	"Are processes, procedures, and technical measures to ensure the logging infrastructure
is ""read-only"" for all with write access (including privileged access roles) defined,
implemented, and evaluated?
"	Yes	CSP-owned	"Instructure maintains a logging policy and logs activity on systems and applications in order to keep actions attributable, and keep users and systems accountable for actions taken. Logs are immutable."				IAM-12	"Define, implement and evaluate processes, procedures and technical
measures to ensure the logging infrastructure is read-only for all with write
access, including privileged access roles, and that the ability to disable it
is controlled through a procedure that ensures the segregation of duties and
break glass procedures.
"	Safeguard Logs Integrity	
IAM-12.2	"Is the ability to disable the ""read-only"" configuration of logging infrastructure
controlled through a procedure that ensures the segregation of duties and break
glass procedures?
"	Yes	CSP-owned								
IAM-13.1	"Are processes, procedures, and technical measures that ensure users are identifiable
through unique identification (or can associate individuals with user identification
usage) defined, implemented, and evaluated?
"	Yes	CSP-owned	Instructure's authentication policy mandates unique user IDs and prohibits users from authenticating through service accounts.				IAM-13	"Define, implement and evaluate processes, procedures and technical
measures that ensure users are identifiable through unique IDs or which can
associate individuals to the usage of user IDs.
"	Uniquely Identifiable Users	
IAM-14.1	"Are processes, procedures, and technical measures for authenticating access
to systems, application, and data assets including multifactor authentication
for a least-privileged user and sensitive data access defined, implemented, and
evaluated?
"	Yes	CSP-owned	Multi-Factor authentication is mandated for authenticating access to Instructure's systems and digital assets.				IAM-14	"Define, implement and evaluate processes, procedures and technical
measures for authenticating access to systems, application and data assets,
including multifactor authentication for at least privileged user and sensitive
data access. Adopt digital certificates or alternatives which achieve an equivalent
level of security for system identities.
"	Strong Authentication	
IAM-14.2	"Are digital certificates or alternatives that achieve an equivalent security
level for system identities adopted?
"	Yes	CSP-owned								
IAM-15.1	"Are processes, procedures, and technical measures for the secure management
of passwords defined, implemented, and evaluated?
"	Yes	CSP-owned	"Instructure mandates a password policy with minimum requirements for length, complexity, rotation, and reuse. Password management tools are used to securely manage secrets."				IAM-15	"Define, implement and evaluate processes, procedures and technical
measures for the secure management of passwords.
"	Passwords Management	
IAM-16.1	"Are processes, procedures, and technical measures to verify access to data
and system functions authorized, defined, implemented, and evaluated?
"	Yes	CSP-owned	"Instructure's Human Resources department enters relevant personnel employment information into the employee management system, Workday. Workday regularly updates employee additions, updates, transfers and terminations to the identity management platform."				IAM-16	"Define, implement and evaluate processes, procedures and technical
measures to verify access to data and system functions is authorized.
"	Authorization Mechanisms	
IPY-01.1	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for communications between application services
(e.g., APIs)?
"	Yes	CSP-owned	"Our platform provides a fully documented, secure, open representational state (REST) API that securely exposes data and functionality for data import and export. For Canvas, our flagship LMS, the API documentation is publicly available at inst.bid/canvas/lms/api"				IPY-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for interoperability and portability including
requirements for:
a. Communications between application interfaces
b. Information processing interoperability
c. Application development portability
d. Information/Data exchange, usage, portability, integrity, and persistence
Review and update the policies and procedures at least annually.
"	Interoperability and Portability Policy and Procedures	Interoperability & Portability
IPY-01.2	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information processing interoperability?
"	Yes	CSP-owned	Please see IPY-01.1.							
IPY-01.3	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for application development portability?
"	Yes	CSP-owned	Please see IPY-01.1.							
IPY-01.4	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information/data exchange, usage, portability,
integrity, and persistence?
"	Yes	CSP-owned	Please see IPY-01.1.							
IPY-01.5	"Are interoperability and portability policies and procedures reviewed and
updated at least annually?
"	Yes	CSP-owned	At least annually.							
IPY-02.1	"Are CSCs able to programmatically retrieve their data via an application interface(s)
to enable interoperability and portability?
"	Yes	CSP-owned	Please see IPY-01.1				IPY-02	"Provide application interface(s) to CSCs so that they programmatically
retrieve their data to enable interoperability and portability.
"	Application Interface Availability	
IPY-03.1	"Are cryptographically secure and standardized network protocols implemented
for the management, import, and export of data?
"	Yes	CSP-owned					IPY-03	"Implement cryptographically secure and standardized network protocols
for the management, import and export of data.
"	Secure Interoperability and Portability Management	
IPY-04.1	"Do agreements include provisions specifying CSC data access upon contract termination, and have the following?
a. Data format
b. Duration data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
"	Yes	CSP-owned	"Customers can utilize open RESTful API access and export capabilities to retrieve data at contract termination. On termination or expiration of the Customer Agreement, customers have 90 days to extract any data from our products, using the available mechanisms as described in our documentation. After 90 days, customer data is securely deleted to industry best-practice standards."				IPY-04	"Agreements must include provisions specifying CSCs access to data
upon contract termination and will include:
a. Data format
b. Length of time the data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
"	Data Portability Contractual Obligations	
IVS-01.1	"Are infrastructure and virtualization security policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned					IVS-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for infrastructure and virtualization security. Review
and update the policies and procedures at least annually.
"	Infrastructure and Virtualization Security Policy and Procedures	Infrastructure & Virtualization Security
IVS-01.2	"Are infrastructure and virtualization security policies and procedures reviewed
and updated at least annually?
"	Yes	CSP-owned	At least annually.							
IVS-02.1	"Is resource availability, quality, and capacity planned and monitored in a
way that delivers required system performance, as determined by the business?
"	Yes	CSP-owned	"Instructure continually monitors platform performance and availability and offers redundancy of computing resources with active monitoring for failure detection and automated fail-over. For example, application servers are constantly monitored via a heartbeat mechanism. If an application server stops responding to heartbeat checks, the load balancer will remove it from the pool of servers to which it sends requests. Application servers do not persist state, so losing an application server does not affect the service."				IVS-02	"Plan and monitor the availability, quality, and adequate capacity
of resources in order to deliver the required system performance as determined
by the business.
"	Capacity and Resource Planning	
IVS-03.1	"Are communications between environments monitored?
"	Yes	CSP-owned					IVS-03	"Monitor, encrypt and restrict communications between environments
to only authenticated and authorized connections, as justified by the business.
Review these configurations at least annually, and support them by a documented
justification of all allowed services, protocols, ports, and compensating controls.
"	Network Security	
IVS-03.2	"Are communications between environments encrypted?
"	Yes	CSP-owned								
IVS-03.3	"Are communications between environments restricted to only authenticated and
authorized connections, as justified by the business?
"	Yes	CSP-owned								
IVS-03.4	"Are network configurations reviewed at least annually?
"	Yes	CSP-owned	At least annually.							
IVS-03.5	"Are network configurations supported by the documented justification of all
allowed services, protocols, ports, and compensating controls?
"	Yes	CSP-owned								
IVS-04.1	"Is every host and guest OS, hypervisor, or infrastructure control plane hardened
(according to their respective best practices) and supported by technical controls
as part of a security baseline?
"	Yes	CSP-owned					IVS-04	"Harden host and guest OS, hypervisor or infrastructure control plane
according to their respective best practices, and supported by technical controls,
as part of a security baseline.
"	OS Hardening and Base Controls	
IVS-05.1	"Are production and non-production environments separated?
"	Yes	CSP-owned					IVS-05	"Separate production and non-production environments.
"	Production and Non-Production Environments	
IVS-06.1	"Are applications and infrastructures designed, developed, deployed, and configured
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented, segregated, monitored, and restricted from other tenants?
"	Yes	CSP-owned	Data is separated natively in a multi-tenant environment. Multi-tenancy is regarded as one of the essential attributes of cloud computing and ensures that data is secure and logically separated from other institutions.				IVS-06	"Design, develop, deploy and configure applications and infrastructures
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented and segregated, monitored and restricted from other tenants.
"	Segmentation and Segregation	
IVS-07.1	"Are secure and encrypted communication channels including only up-to-date
and approved protocols used when migrating servers, services, applications, or
data to cloud environments?
"	Yes	CSP-owned					IVS-07	"Use secure and encrypted communication channels when migrating servers,
services, applications, or data to cloud environments. Such channels must include
only up-to-date and approved protocols.
"	Migration to Cloud Environments	
IVS-08.1	"Are high-risk environments identified and documented?
"	Yes	CSP-owned					IVS-08	"Identify and document high-risk environments.
"	Network Architecture Documentation	
IVS-09.1	"Are processes, procedures, and defense-in-depth techniques defined, implemented,
and evaluated for protection, detection, and timely response to network-based
attacks?
"	Yes	CSP-owned	"Instructure's Security Team use a wide-range of first-class security tools to monitor for intrusions and attacks, 24x7x365."				IVS-09	"Define, implement and evaluate processes, procedures and defense-in-depth
techniques for protection, detection, and timely response to network-based attacks.
"	Network Defense	
LOG-01.1	"Are logging and monitoring policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure maintains a logging and monitoring policy which logs and monitors activity on systems and applications in order to keep actions attributable, and keep users and systems accountable for actions taken. The logging and monitoring policies are managed by Instructure's Security Team and based on information security best practices as set forth by the International Organization for Standardization's (ISO) 27000 suite of standards, NIST's 800-53 suite of controls, and the AICPA's Trust Service Principles and Criteria. Instructure holds SOC 2 Type II reports and ISO 27001 certification."				LOG-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for logging and monitoring. Review and update the policies
and procedures at least annually.
"	Logging and Monitoring Policy and Procedures	Logging and Monitoring
LOG-01.2	"Are policies and procedures reviewed and updated at least annually?
"	Yes	CSP-owned	At least annually.							
LOG-02.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure audit log security and retention?
"	Yes	CSP-owned	"All activity is logged in secure, immutable logs using Cloudwatch, CloudTrail and other AWS service logging. Furthermore, cloud workload monitoring solutions are deployed on all instances, which collect event data from instances and centrally store them. All our logs are piped to our SIEM, Splunk, for analysis and archiving."				LOG-02	"Define, implement and evaluate processes, procedures and technical
measures to ensure the security and retention of audit logs.
"	Audit Logs Protection	
LOG-03.1	"Are security-related events identified and monitored within applications and
the underlying infrastructure?
"	Yes	CSP-owned	"Instructure continuously monitors and analyzes our networks in real-time, sending any alerts generated directly to the Security Team for review and actioning. Logging and monitoring 24x7 means we have real-time alarms for events that may affect our services. Any triggered alarms go to our teams (e.g. Security, DevOps) for immediate action, 24x7x365."				LOG-03	"Identify and monitor security-related events within applications
and the underlying infrastructure. Define and implement a system to generate
alerts to responsible stakeholders based on such events and corresponding metrics.
"	Security Monitoring and Alerting	
LOG-03.2	"Is a system defined and implemented to generate alerts to responsible stakeholders
based on security events and their corresponding metrics?
"	Yes	CSP-owned	Any alerts triggered are sent to the appropriate teams 24x7x365 via PagerDuty.							
LOG-04.1	"Is access to audit logs restricted to authorized personnel, and are records
maintained to provide unique access accountability?
"	Yes	CSP-owned					LOG-04	"Restrict audit logs access to authorized personnel and maintain records
that provide unique access accountability.
"	Audit Logs Access and Accountability	
LOG-05.1	"Are security audit logs monitored to detect activity outside of typical or
expected patterns?
"	Yes	CSP-owned					LOG-05	"Monitor security audit logs to detect activity outside of typical
or expected patterns. Establish and follow a defined process to review and take
appropriate and timely actions on detected anomalies.
"	Audit Logs Monitoring and Response	
LOG-05.2	"Is a process established and followed to review and take appropriate and timely
actions on detected anomalies?
"	Yes	CSP-owned								
LOG-06.1	"Is a reliable time source being used across all relevant information processing
systems?
"	Yes	CSP-owned	All logging is synchronized globally using known good NTP external sources.				LOG-06	"Use a reliable time source across all relevant information processing
systems.
"	Clock Synchronization	
LOG-07.1	"Are logging requirements for information meta/data system events established,
documented, and implemented?
"	Yes	CSP-owned					LOG-07	"Establish, document and implement which information meta/data system
events should be logged. Review and update the scope at least annually or whenever
there is a change in the threat environment.
"	Logging Scope	
LOG-07.2	"Is the scope reviewed and updated at least annually, or whenever there is
a change in the threat environment?
"	Yes	CSP-owned	At least annually.							
LOG-08.1	"Are audit records generated, and do they contain relevant security information?
"	Yes	CSP-owned					LOG-08	"Generate audit records containing relevant security information.
"	Log Records	
LOG-09.1	"Does the information system protect audit records from unauthorized access,
modification, and deletion?
"	Yes	CSP-owned					LOG-09	"The information system protects audit records from unauthorized access,
modification, and deletion.
"	Log Protection	
LOG-10.1	"Are monitoring and internal reporting capabilities established to report on
cryptographic operations, encryption, and key management policies, processes,
procedures, and controls?
"	Yes	CSP-owned					LOG-10	"Establish and maintain a monitoring and internal reporting capability
over the operations of cryptographic, encryption and key management policies,
processes, procedures, and controls.
"	Encryption Monitoring and Reporting	
LOG-11.1	"Are key lifecycle management events logged and monitored to enable auditing
and reporting on cryptographic keys' usage?
"	Yes	CSP-owned					LOG-11	"Log and monitor key lifecycle management events to enable auditing
and reporting on usage of cryptographic keys.
"	Transaction/Activity Logging	
LOG-12.1	"Is physical access logged and monitored using an auditable access control
system?
"	Yes	CSP-owned					LOG-12	"Monitor and log physical access using an auditable access control
system.
"	Access Control Logs	
LOG-13.1	"Are processes and technical measures for reporting monitoring system anomalies
and failures defined, implemented, and evaluated?
"	Yes	CSP-owned					LOG-13	"Define, implement and evaluate processes, procedures and technical
measures for the reporting of anomalies and failures of the monitoring system
and provide immediate notification to the accountable party.
"	Failures and Anomalies Reporting	
LOG-13.2	"Are accountable parties immediately notified about anomalies and failures?
"	Yes	CSP-owned								
SEF-01.1	"Are policies and procedures for security incident management, e-discovery,
and cloud forensics established, documented, approved, communicated, applied,
evaluated, and maintained?
"	Yes	CSP-owned	"Instructure maintains several policies and plans for Security Incident Management, Breach Management, Security Incident Response Plan Training and Testing. These plans and policies are managed by the Instructure Security Team and reviewed on an ongoing basis by key stakeholders and relevant teams. The plans encompass robust procedures for dealing with a wide range of incidents including:
 _ Denial of Service (DoS) Attacks
 _ Unauthorized Use
 _ Cyber-Vandalism
 _ Theft and disclosure of Proprietary Information – Corporate Espionage / Privacy Violations
 _ Computers Systems/Network Intrusions
 
 The plans detail full end to end processes for incident management including roles and responsibilities, preparation and plan testing, and forensic evidence processing guidelines. These policies are made available to Instructure staff via our internal content management system. Instructure's policies and plans are evaluated against both SOC 2 and ISO 27001 standards."				SEF-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
"	Security Incident Management Policy and Procedures	"Security Incident Management, E-Discovery, & Cloud Forensics"
SEF-01.2	"Are policies and procedures reviewed and updated annually?
"	Yes	CSP-owned	At least annually.							
SEF-02.1	"Are policies and procedures for timely management of security incidents established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	Please see SEF-01.1				SEF-02	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
"	Service Management Policy and Procedures	
SEF-02.2	"Are policies and procedures for timely management of security incidents reviewed
and updated at least annually?
"	Yes	CSP-owned	At least annually.							
SEF-03.1	"Is a security incident response plan that includes relevant internal departments,
impacted CSCs, and other business-critical relationships (such as supply-chain)
established, documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned					SEF-03	"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
"	Incident Response Plans	
SEF-04.1	"Is the security incident response plan tested and updated for effectiveness,
as necessary, at planned intervals or upon significant organizational or environmental
changes?
"	Yes	CSP-owned	Please see SEF-01.1				SEF-04	"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
"	Incident Response Testing	
SEF-05.1	"Are information security incident metrics established and monitored?
"	Yes	CSP-owned					SEF-05	"Establish and monitor information security incident metrics.
"	Incident Response Metrics	
SEF-06.1	"Are processes, procedures, and technical measures supporting business processes
to triage security-related events defined, implemented, and evaluated?
"	Yes	CSP-owned					SEF-06	"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
"	Event Triage Processes	
SEF-07.1	"Are processes, procedures, and technical measures for security breach notifications
defined and implemented?
"	Yes	CSP-owned	"Per requirements in place by FERPA, impacted customers will be notified within 24 hours in the event of a FERPA violation. All customers are to be notified within 48 hours per contractual agreements"				SEF-07	"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.
"	Security Breach Notification	
SEF-07.2	"Are security breaches and assumed security breaches reported (including any
relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
"	Yes	CSP-owned	Please see SEF-07.1							
SEF-08.1	"Are points of contact maintained for applicable regulation authorities, national
and local law enforcement, and other legal jurisdictional authorities?
"	Yes	CSP-owned	"Instructure engages with external counsel, security and privacy organizations, and education-industry associations where relevant to help ensure security and privacy compliance. For example, we maintain a Privacy Advisory Board. The Data Usage and Privacy Advisory Board includes a range of education stakeholders and experts - teachers, researchers, data scientists, administrators, and privacy experts - to discuss the questions that come with the use of data. We also work with a global research firm to ensure we are thinking about privacy from all angles."				SEF-08	"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
"	Points of Contact Maintenance	
STA-01.1	"Are policies and procedures implementing the shared security responsibility
model (SSRM) within the organization established, documented, approved, communicated,
applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure maintains a responsibility matrix ""decoder ring"" which documents the security obligations of involved parties. All Security policies and plans also document roles and responsibilities using the SSRM model."				STA-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
"	SSRM Policy and Procedures	"Supply Chain Management, Transparency, and Accountability"
STA-01.2	"Are the policies and procedures that apply the SSRM reviewed and updated annually?
"	Yes	CSP-owned	At least annually.							
STA-02.1	"Is the SSRM applied, documented, implemented, and managed throughout the supply
chain for the cloud service offering?
"	Yes	CSP-owned	"Instructure utilizes several third party organizations to host its products for customers. As part of helping ensure third party organizations are securely providing services to Instructure, Instructure's security team performs thorough vetting prior to, and periodically throughout the relationship with third party vendors.
 
 To help provide reasonable security assurance of the security practices and mechanisms at these third parties, Instructure requests and reviews copies of the third party assurance reports provided by these organizations on an ongoing basis to confirm these controls are operating effectively. Legal contracts with these third parties also include security provisions to help ensure the implementation and operation of effective security controls at the third party organizations."				STA-02	"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
"	SSRM Supply Chain	
STA-03.1	"Is the CSC given SSRM guidance detailing information about SSRM applicability
throughout the supply chain?
"	Yes	CSP-owned					STA-03	"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.
"	SSRM Guidance	
STA-04.1	"Is the shared ownership and applicability of all CSA CCM controls delineated
according to the SSRM for the cloud service offering?
"	Yes	CSP-owned					STA-04	"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
"	SSRM Control Ownership	
STA-05.1	"Is SSRM documentation for all cloud services the organization uses reviewed
and validated?
"	Yes	CSP-owned	Please see STA-02.1				STA-05	"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
"	SSRM Documentation Review	
STA-06.1	"Are the portions of the SSRM the organization is responsible for implemented,
operated, audited, or assessed?
"	Yes	CSP-owned					STA-06	"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
"	SSRM Control Implementation	
STA-07.1	"Is an inventory of all supply chain relationships developed and maintained?
"	Yes	CSP-owned					STA-07	"Develop and maintain an inventory of all supply chain relationships.
"	Supply Chain Inventory	
STA-08.1	"Are risk factors associated with all organizations within the supply chain
periodically reviewed by CSPs?
"	Yes	CSP-owned	Please see STA-02.1				STA-08	"CSPs periodically review risk factors associated with all organizations
within their supply chain.
"	Supply Chain Risk Management	
STA-09.1	"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms?
• Scope, characteristics, and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third-party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
"	Yes	CSP-owned					STA-09	"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
"	Primary Service and Contractual Agreement	
STA-10.1	"Are supply chain agreements between CSPs and CSCs reviewed at least annually?
"	Yes	CSP-owned					STA-10	"Review supply chain agreements between CSPs and CSCs at least annually.
"	Supply Chain Agreement Review	
STA-11.1	"Is there a process for conducting internal assessments at least annually to
confirm the conformance and effectiveness of standards, policies, procedures,
and SLA activities?
"	Yes	CSP-owned					STA-11	"Define and implement a process for conducting internal assessments
to confirm conformance and effectiveness of standards, policies, procedures,
and service level agreement activities at least annually.
"	Internal Compliance Testing	
STA-12.1	"Are policies that require all supply chain CSPs to comply with information
security, confidentiality, access control, privacy, audit, personnel policy, and
service level requirements and standards implemented?
"	Yes	CSP-owned	Please see STA-02.1				STA-12	"Implement policies requiring all CSPs throughout the supply chain
to comply with information security, confidentiality, access control, privacy,
audit, personnel policy and service level requirements and standards.
"	Supply Chain Service Agreement Compliance	
STA-13.1	"Are supply chain partner IT governance policies and procedures reviewed periodically?
"	Yes	CSP-owned					STA-13	"Periodically review the organization's supply chain partners' IT
governance policies and procedures.
"	Supply Chain Governance Review	
STA-14.1	"Is a process to conduct periodic security assessments for all supply chain
organizations defined and implemented?
"	Yes	CSP-owned	Vendor (Third-Party) Security and Risk Reviews are conducted and documented periodically.				STA-14	"Define and implement a process for conducting security assessments
periodically for all organizations within the supply chain.
"	Supply Chain Data Security Assessment	
TVM-01.1	"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained to identify, report, and prioritize the remediation
of vulnerabilities to protect systems against vulnerability exploitation?
"	Yes	CSP-owned	"Instructure maintains a Vulnerability Management Policy which describes how Instructure identifies, assesses, and mitigates vulnerabilities. The policy applies to all of Instructure, including, but not limited to, Instructure personnel, systems, processes, buildings, and other assets.Vulnerability Management is based on the ongoing, repeating process of identifying vulnerabilities, assessing vulnerabilities, and mitigating vulnerabilities base on overall risk rating. Instructure's security team conducts regular vulnerability scans of production environments using both off-the-shelf and custom internally-built tools. We also contract a third-party to perform ongoing external penetration testing, the results of which we publish publicly online annually."				TVM-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to identify, report and prioritize the remediation of
vulnerabilities, in order to protect systems against vulnerability exploitation.
Review and update the policies and procedures at least annually.
"	Threat and Vulnerability Management Policy and Procedures	Threat & Vulnerability Management
TVM-01.2	"Are threat and vulnerability management policies and procedures reviewed and
updated at least annually?
"	Yes	CSP-owned	At least annually.							
TVM-02.1	"Are policies and procedures to protect against malware on managed assets established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure has a robust information security program that runs on a continuous, PDCA-improvement cycle. To mitigate malware and ransomware, we utilize a number of security practices as recommended by the United States Cybersecurity and Infrastructure Security Agency (CISA).
 On all Instructure devices, we utilize enhanced endpoint detection and response (EDR) software with alert triggering on all devices, above and beyond standard antivirus."				TVM-02	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect against malware on managed assets. Review
and update the policies and procedures at least annually.
"	Malware Protection Policy and Procedures	
TVM-02.2	"Are asset management and malware protection policies and procedures reviewed
and updated at least annually?
"	Yes	CSP-owned	At least annually.							
TVM-03.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable scheduled and emergency responses to vulnerability identifications
(based on the identified risk)?
"	Yes	CSP-owned	"Instructure schedules remediation of vulnerabilities based on Critical, High, Medium, or Low risks. For example, if a Critical (emergency) security risk is detected that has a near-and-present-danger, fixing the vulnerability is given the highest priority by Instructure’s security and engineering teams and security patches as such will be applied within twenty-four (24) hours by best commercial efforts. In most cases, vulnerabilities can be fixed using a hot patch without incurring any downtime to production environments."				TVM-03	"Define, implement and evaluate processes, procedures and technical
measures to enable both scheduled and emergency responses to vulnerability identifications,
based on the identified risk.
"	Vulnerability Remediation Schedule	
TVM-04.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to update detection tools, threat signatures, and compromise indicators
weekly (or more frequent) basis?
"	Yes	CSP-owned					TVM-04	"Define, implement and evaluate processes, procedures and technical
measures to update detection tools, threat signatures, and indicators of compromise
on a weekly, or more frequent basis.
"	Detection Updates	
TVM-05.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated to identify updates for applications that use third-party or open-source
libraries (according to the organization's vulnerability management policy)?
"	Yes	CSP-owned					TVM-05	"Define, implement and evaluate processes, procedures and technical
measures to identify updates for applications which use third party or open
source libraries according to the organization's vulnerability management policy.
"	External Library Vulnerabilities	
TVM-06.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated for periodic, independent, third-party penetration testing?
"	Yes	CSP-owned	"Instructure performs third-party penetration tests annually for its products. New issues are discovered and remediated as soon as they are uncovered. Annually, we release a report of our bug bounty program containing the previous year's findings, available at: https://inst.bid/trust

Instructure welcomes customer participation in our crowd-sourced bug bounty program facilitated by BugCrowd."				TVM-06	"Define, implement and evaluate processes, procedures and technical
measures for the periodic performance of penetration testing by independent
third parties.
"	Penetration Testing	
TVM-07.1	"Are processes, procedures, and technical measures defined, implemented, and
evaluated for vulnerability detection on organizationally managed assets at least
monthly?
"	Yes	CSP-owned					TVM-07	"Define, implement and evaluate processes, procedures and technical
measures for the detection of vulnerabilities on organizationally managed assets
at least monthly.
"	Vulnerability Identification	
TVM-08.1	"Is vulnerability remediation prioritized using a risk-based model from an
industry-recognized framework?
"	Yes	CSP-owned	"At Instructure, we assess security risks based on two factors: Impact and Likelihood. 
 _ Impact: Impact is the perceived, calculated, or actual impact that might occur if the identified vulnerability is exploited.
 _ Likelihood: Likelihood is the probability of the vulnerability being exploited.
 Each of these factors are then rated Critical, High, Medium, or Low. For example, if a Critical security risk is detected that has a near-and-present-danger, fixing the vulnerability is given the highest priority by Instructure’s security and engineering teams and security patches as such will be applied within twenty-four (24) hours by best commercial efforts. In most cases, vulnerabilities can be fixed using a hot patch without incurring any downtime to production environments. Other patches to the operating system, application software, and code libraries are rated accordingly. The Overall Risk is calculated by taking the lesser of the two values. (e.g., if Likelihood = Low, and the Impact = High, the Overall Risk = Low). The Overall Risk is then used to prioritize the mitigation of vulnerabilities. We will not hesitate to raise a security risk-level where necessary for the safety and protection of our customers. As a SaaS platform, we have an industry-standard SLA for remediation of vulnerabilities. Our work remediating any vulnerabilities found is always at no additional cost to our customers."				TVM-08	"Use a risk-based model for effective prioritization of vulnerability
remediation using an industry recognized framework.
"	Vulnerability Prioritization	
